rank,chembl_id,name,affinity_kcal_mol
1,CHEMBL442,ERGOTAMINE,-8.441
2,CHEMBL1171837,PONATINIB,-8.278
3,CHEMBL1293,BETA CAROTENE,-8.263
4,CHEMBL2364638,UBROGEPANT,-8.234
5,CHEMBL608533,MIDOSTAURIN,-8.203
6,CHEMBL1200969,DUTASTERIDE,-8.104
7,CHEMBL3989868,TUCATINIB,-7.985
8,CHEMBL255863,NILOTINIB,-7.837
9,CHEMBL2107826,VIBEGRON,-7.825
10,CHEMBL1983268,ENTRECTINIB,-7.712
11,CHEMBL603,ZAFIRLUKAST,-7.698
12,CHEMBL481,IRINOTECAN,-7.627
13,CHEMBL1738797,ALECTINIB,-7.573
14,CHEMBL1017,TELMISARTAN,-7.57
15,CHEMBL941,IMATINIB,-7.53
16,CHEMBL1621,PALIPERIDONE,-7.519
17,CHEMBL2103870,LUMACAFTOR,-7.513
18,CHEMBL1615438,LEVOCABASTINE,-7.48
19,CHEMBL5189739,BEROTRALSTAT,-7.466
20,CHEMBL4204794,AVAPRITINIB,-7.445
21,CHEMBL3188267,CAPMATINIB,-7.436
22,CHEMBL2105842,CORTIVAZOL,-7.426
23,CHEMBL2105755,NALDEMEDINE,-7.425
24,CHEMBL461101,ELTROMBOPAG,-7.407
25,CHEMBL1946170,REGORAFENIB,-7.399
26,CHEMBL3948730,UMBRALISIB,-7.385
27,CHEMBL1200732,AMCINONIDE,-7.369
28,CHEMBL1732,DIHYDROERGOTAMINE,-7.349
29,CHEMBL1201165,QUINESTROL,-7.339
30,CHEMBL278623,MACIMORELIN,-7.313
